,Ref,Credit_Score,Final_Grade,Term,Net_Advance,APR,Loan_Type,Mosaic,Mosaic_Class,Time_at_Address,Residential_Status,Telephone_Indicator,Number_of_Dependants,Marital_Status,Gender,Time_in_Employment,Employment_Status,Employment_Type,Permanent_Employee,Income_Range,Current_Account,ACCESS_Card,VISA_Card,American_Express,Diners_Card,Cheque_Guarantee,Other_Credit_Store_Card,Time_with_Bank,Value_of_Property,Outstanding_Mortgage_Bal,Total_Outstanding_Balances,Bureau_Data___Monthly_Other_Co_R,Worst_History_CT,Payment_Method,Age,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Worst_status_L6m,Worst_CUrrent_Status,Status_3s_L6m,Searches___Total___L6m,Years_on_ER_for_SP,Bankruptcy_Detected__SP_,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,CIFAS_detected,Time_since_most_recent_outstandi,Insurance_Description,PPI,code,prdt_desc,category,PPI_SINGLE,PPI_JOINT,PPI_LCI
7898,20578,940,A,60,7700.0,11.4,UnSecured,60,11,59,H,Y,0,M,M,42,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,180,450000,95369,130489,1231,4,D,69,97,0,0,99,0,0,0,0,8,4,N,0,352,9,N,99,LIFE & CRITICAL ILLN      ,1,768.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7900,20582,776,E,60,4500.0,19.9,secured  ,46,8,132,H,N,3,S,F,96,G,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,108,153000,95084,96216,602,5,D,43,97,1,13,49,25,5,5,3,1,10,N,1,12,3,N,49,1st Cust - LASU / 2n      ,1,771.0,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
7903,20587,928,A,60,6000.0,13.9,UnSecured,44,8,288,R,Y,0,M,M,64,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,436,120000,0,18470,137,0,D,69,0,1,2,70,0,1,0,0,1,24,N,0,185,9,N,99,Other                     ,1,758.0,LASU,Single,1,0,0
7904,20590,1032,X,60,10000.0,7.9,UnSecured,55,10,280,H,Y,0,M,F,227,G,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,191,200000,10000,10376,0,4,D,51,0,0,0,99,1,0,0,0,2,23,N,0,104,3,N,99,Joint                     ,1,721.0,1st Cust - LASU / 2nd Cust - LASCI,Joint,0,1,0
7905,20591,953,X,60,13000.0,8.0,UnSecured,15,3,264,H,Y,1,M,M,120,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,204,234000,127260,142884,1469,5,D,55,129,0,0,99,6,2,0,0,1,21,N,0,157,9,N,99,Other                     ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7907,20602,855,B,60,8000.0,17.9,UnSecured,15,3,2,H,Y,0,M,M,12,S,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,84,190000,161637,161394,858,5,D,48,163,2,7,37,22,0,0,0,4,0,N,0,4,4,N,99,LIFE & CRITICAL ILLN      ,1,768.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7910,20608,900,A,120,8000.0,12.9,secured  ,23,4,186,H,Y,2,M,M,24,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,246,115000,93749,104294,686,4,D,45,95,0,0,99,214,1,0,0,4,15,N,0,106,9,N,99,Joint                     ,1,716.0,LASU JOINT,JOINT,0,1,0
7911,20613,898,A,120,15000.0,9.4,secured  ,46,8,78,H,Y,1,M,M,18,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,300,232000,171209,174064,1139,5,D,45,173,0,0,99,6,6,6,2,1,6,N,0,29,7,N,99,JOINT LIFE & CRITICA      ,1,769.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
7912,20614,827,C,36,2000.0,30.9,UnSecured,47,8,168,T,Y,0,D,F,78,P,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,180,120000,0,2540,0,0,D,55,0,0,0,99,8,0,0,0,2,10,N,0,26,4,N,99,Other                     ,1,770.0,LASU,Single,1,0,0
7913,20615,706,R,12,1000.0,44.9,UnSecured,0,1,44,H,Y,2,S,M,4,S,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,68,220000,42421,50681,475,0,D,37,44,0,0,99,0,2,2,0,1,2,N,0,83,6,N,99,Joint                     ,1,719.0,LASCI JOINT,JOINT,0,1,0
7915,20622,937,A,60,5000.0,16.9,UnSecured,43,7,132,H,Y,1,D,F,60,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,137,195000,68698,73147,403,0,D,31,70,0,0,99,0,0,0,0,2,3,N,0,45,5,N,99,Other                     ,1,760.0,LASCI,Single,1,0,0
7917,20630,912,A,120,14000.0,9.9,secured  ,45,8,72,H,Y,2,S,F,36,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,180,115000,71493,88294,540,0,D,29,73,0,0,99,4,1,1,0,1,7,N,0,169,8,N,99,LASU                      ,1,770.0,LASU,Single,1,0,0
7918,20632,822,C,24,3000.0,26.9,UnSecured,45,8,144,L,Y,0,S,M,72,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,96,120000,0,2840,236,5,D,23,0,0,0,99,0,0,0,0,2,17,N,0,29,2,N,99,Other                     ,1,758.0,LASU,Single,1,0,0
7919,20633,924,A,60,4500.0,17.9,UnSecured,43,7,300,H,Y,0,W,F,192,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,420,150000,69604,71222,593,4,D,57,71,0,0,99,1,0,0,0,3,25,N,0,17,6,N,99,Other                     ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7920,20634,822,C,96,13300.0,14.4,secured  ,23,4,48,H,Y,0,M,M,3,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,132,102000,69807,82271,503,1,D,36,71,1,15,26,149,0,0,0,1,0,N,1,125,5,N,26,Joint                     ,1,716.0,LASU JOINT,JOINT,0,1,0
7922,20638,893,A,60,11000.0,11.9,UnSecured,9,2,70,H,Y,2,M,F,1,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,120,400000,75806,133812,1548,5,D,38,124,0,0,99,0,1,1,0,5,2,N,0,117,9,N,99,Other                     ,1,769.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
7923,20640,808,D,37,2200.0,35.9,UnSecured,44,8,242,H,Y,2,M,F,26,P,F,P,4,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,TRUE  ,122,65000,13601,15142,88,0,D,41,15,0,0,99,2,3,3,7,3,0,N,0,16,4,N,99,Joint                     ,1,719.0,LASCI JOINT,JOINT,0,1,0
7926,20645,857,B,120,17000.0,16.4,secured  ,49,9,48,H,Y,0,D,F,90,G,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,204,210000,180988,199260,1176,1,D,60,183,1,3,44,17,2,2,0,9,4,N,1,179,5,N,44,LASU                      ,1,770.0,LASU,Single,1,0,0
7927,20646,948,X,60,8000.0,8.9,UnSecured,43,7,12,H,Y,2,M,M,73,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,169,94000,76000,8669,0,0,D,31,0,0,0,99,0,0,0,0,4,1,N,0,87,7,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7929,20656,748,F,36,2500.0,44.9,UnSecured,22,4,144,L,Y,0,S,M,12,P,F,P,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,72,120000,0,1608,40,5,D,23,0,0,0,99,0,1,3,2,0,4,N,0,17,3,N,99,Other                     ,1,758.0,LASU,Single,1,0,0
7930,20659,840,B,60,10000.0,11.9,UnSecured,44,8,216,H,Y,0,M,M,61,P,F,P,4,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,300,110000,98630,112412,1139,5,D,51,100,0,0,99,16,0,1,0,5,18,N,0,140,9,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
7932,20662,997,X,60,10000.0,8.9,UnSecured,24,4,102,H,Y,0,M,M,15,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,222,73000,76963,84229,520,4,D,34,78,0,0,99,0,0,0,0,5,8,N,0,73,5,N,99,Other                     ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7933,20663,906,A,60,9000.0,8.9,UnSecured,18,3,84,H,Y,2,M,M,24,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,264,280000,132917,143156,889,0,D,40,134,0,0,99,0,0,0,0,3,7,N,0,103,7,N,99,LASCI                     ,1,760.0,LASCI,Single,1,0,0
7934,20665,991,X,60,7000.0,12.9,UnSecured,16,3,14,H,Y,0,M,F,110,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,194,225000,139270,149906,1034,0,D,54,141,0,0,99,91,0,0,0,1,1,N,0,107,6,N,99,Other                     ,1,760.0,LASCI,Single,1,0,0
7935,20670,864,B,60,5000.0,28.4,UnSecured,46,8,156,T,Y,0,M,M,138,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,300,120000,0,9089,360,0,D,52,0,2,28,4,86,4,0,2,5,12,N,2,91,8,N,4,Joint                     ,1,716.0,LASU JOINT,JOINT,0,1,0
7936,20673,871,B,60,12500.0,11.9,UnSecured,36,6,108,H,Y,0,S,M,66,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,84,150000,0,7201,0,4,D,38,0,0,0,99,36,0,0,0,5,6,N,0,73,2,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
7937,20674,873,A,60,5000.0,19.9,UnSecured,15,3,360,H,Y,1,M,F,12,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,420,225000,48304,49041,339,5,D,57,50,0,0,99,47,2,2,0,3,26,N,0,8,3,N,99,LASCI                     ,1,772.0,LASCI,Single,1,0,0
7939,20677,813,C,120,14000.0,13.4,secured  ,17,3,8,H,Y,1,D,F,48,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,192,156000,104099,118122,655,5,D,34,106,0,0,99,0,0,0,0,4,0,N,0,141,9,N,99,LIFE & CRITICAL ILLN      ,1,768.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7941,20685,835,C,60,10000.0,13.9,UnSecured,23,4,80,H,Y,2,M,M,300,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,68,143000,96000,116740,1244,5,D,47,97,1,6,54,6,1,0,0,6,6,N,0,211,9,N,99,LASCI                     ,1,772.0,LASCI,Single,1,0,0
7942,20689,800,D,72,10000.0,14.9,secured  ,47,8,181,H,N,2,M,M,80,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,120,129000,91158,107803,938,5,D,39,93,1,6,61,67,0,6,7,4,13,N,1,167,6,N,61,Joint                     ,1,719.0,LASCI JOINT,JOINT,0,1,0
7943,20690,958,X,120,15000.0,10.9,secured  ,32,5,116,H,Y,0,S,F,83,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,336,102000,78568,85876,759,4,D,48,80,0,0,99,0,1,0,0,2,8,N,0,73,9,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7944,20691,850,B,48,2000.0,27.9,UnSecured,20,3,72,L,Y,0,S,M,11,P,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,132,120000,0,6801,119,5,D,33,0,0,0,99,0,0,0,0,3,11,N,0,69,8,N,99,Other                     ,1,758.0,LASU,Single,1,0,0
7945,20693,756,F,36,2000.0,38.9,UnSecured,13,2,7,T,Y,0,S,F,64,G,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,84,120000,0,4435,208,5,D,24,0,0,0,99,0,0,0,0,8,0,N,0,45,4,N,99,Other                     ,1,758.0,LASU,Single,1,0,0
7947,20697,898,A,71,10000.0,10.9,secured  ,46,8,93,H,Y,2,M,F,144,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,144,134000,52534,53977,506,5,D,43,54,0,0,99,0,6,6,9,1,6,N,0,15,6,N,99,Joint                     ,1,716.0,LASU JOINT,JOINT,0,1,0
7949,20702,981,X,60,10884.71,7.9,UnSecured,44,8,180,H,Y,0,M,F,168,G,F,P,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,336,90000,9000,14882,56,0,D,53,10,0,0,99,0,1,1,0,1,14,N,0,60,9,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7950,20705,847,B,24,1000.0,23.9,UnSecured,43,7,276,L,Y,2,S,M,259,P,F,P,3,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,211,120000,0,15309,160,0,D,39,0,0,0,99,0,2,0,0,0,0,N,0,154,9,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7956,20715,997,X,60,7500.0,8.9,UnSecured,5,1,60,H,Y,2,M,M,87,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,300000,150000,165820,1109,5,D,41,163,0,0,99,0,1,0,0,1,5,N,0,44,4,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
7961,20729,1006,X,30,8000.0,9.9,UnSecured,17,3,131,H,Y,0,M,M,125,R,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,551,475000,150000,260660,1916,0,D,73,202,0,0,99,0,0,0,0,1,10,N,0,602,6,N,99,Other                     ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7962,20731,808,D,60,5500.0,19.9,UnSecured,43,7,70,T,Y,1,M,F,58,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,TRUE  ,94,120000,0,6183,0,0,D,45,0,0,0,99,0,0,0,0,3,3,N,0,62,5,N,99,Other                     ,1,758.0,LASU,Single,1,0,0
7963,20734,928,A,36,5000.0,9.9,UnSecured,52,10,12,H,Y,0,M,F,81,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,93,500000,399682,447747,2479,0,D,48,437,0,0,99,0,0,0,0,2,0,N,0,119,9,N,99,LASCI                     ,1,760.0,LASCI,Single,1,0,0
7964,20735,781,E,37,3000.0,28.9,UnSecured,21,4,14,H,Y,1,S,M,48,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,TRUE ,TRUE,FALSE ,144,250000,169278,171550,1066,5,D,24,171,0,0,99,6,1,1,0,8,0,N,0,23,4,N,99,Other                     ,1,770.0,LASU,Single,1,0,0
7965,20737,813,C,60,5500.0,22.9,UnSecured,18,3,2,H,Y,2,D,F,48,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,60,308000,0,5258,0,5,D,39,0,0,0,99,2,1,0,0,4,0,N,0,53,6,N,99,LIFE & CRITICAL ILLN      ,1,768.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7966,20739,851,B,84,13000.0,12.4,secured  ,47,8,264,H,Y,1,M,F,5,G,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,300,125000,75715,34007,236,1,D,47,0,0,0,99,2,1,0,0,2,13,N,0,341,4,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7969,20744,934,A,120,10000.0,11.4,secured  ,23,4,60,H,Y,0,M,M,18,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,60,177000,158135,186930,762,0,D,44,160,0,0,99,477,0,0,0,1,5,N,0,288,9,N,99,Joint                     ,1,716.0,LASU JOINT,JOINT,0,1,0
7971,20749,818,C,60,6000.0,22.9,UnSecured,12,2,144,H,Y,1,M,F,42,G,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,186,92000,66505,66566,1030,5,D,41,68,0,0,99,9,1,1,0,5,11,N,0,1,5,N,99,Joint                     ,1,716.0,LASU JOINT,JOINT,0,1,0
7972,20751,819,C,18,1600.0,30.9,UnSecured,32,5,17,T,Y,0,S,F,54,G,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,153,120000,0,491,0,5,D,25,0,0,0,99,0,0,0,0,3,1,N,0,5,5,N,99,Joint                     ,1,716.0,LASU JOINT,JOINT,0,1,0
7974,20754,859,B,49,6000.0,14.9,UnSecured,26,4,336,H,Y,0,S,M,62,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,144,260000,0,5457,0,0,D,30,0,0,0,99,0,1,1,0,2,6,N,0,55,7,N,99,Other                     ,1,758.0,LASU,Single,1,0,0
7975,20759,942,A,18,1000.0,22.9,UnSecured,42,7,48,H,Y,3,M,M,75,P,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,144,90000,0,53,0,5,D,38,0,0,0,99,0,0,0,0,0,0,N,0,1,2,N,99,Other                     ,1,770.0,LASU,Single,1,0,0
7985,20792,813,C,60,5000.0,23.9,UnSecured,42,7,11,T,Y,0,D,M,6,P,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,108,120000,0,591,0,5,D,41,0,0,0,99,65,0,0,0,2,0,N,0,6,3,N,99,LASU                      ,1,770.0,LASU,Single,1,0,0
7986,20793,884,A,36,1000.0,29.9,UnSecured,58,11,216,H,Y,1,M,F,108,P,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,192,100000,0,16584,284,0,D,54,0,0,0,99,0,6,6,6,3,11,N,0,166,4,N,99,Other                     ,1,758.0,LASU,Single,1,0,0
7989,20798,842,B,30,2500.0,23.9,UnSecured,47,8,74,H,Y,0,D,M,58,P,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,48,120000,62087,108049,348,5,D,45,110,0,0,99,0,0,0,0,0,8,N,0,1,3,N,99,Other                     ,1,760.0,LASCI,Single,1,0,0
7990,20800,723,O,24,1000.0,44.9,UnSecured,10,2,143,L,Y,0,S,F,60,P,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,TRUE  ,60,120000,0,8389,0,0,D,24,0,0,0,99,0,1,0,0,4,5,N,0,84,7,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
7991,20801,911,A,120,17000.0,9.9,secured  ,42,7,192,H,Y,0,M,F,94,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,250,83000,29340,16394,373,0,D,45,0,0,0,99,12,0,0,0,3,16,N,0,164,3,N,99,Joint                     ,1,716.0,LASU JOINT,JOINT,0,1,0
7992,20802,847,B,60,8000.0,20.9,UnSecured,25,4,204,T,Y,0,M,M,156,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,216,120000,0,18881,565,5,S,47,0,0,0,99,64,2,0,0,2,15,N,0,189,9,N,99,Other                     ,1,770.0,LASU,Single,1,0,0
7994,20804,881,A,60,7000.0,15.4,UnSecured,43,7,12,T,Y,0,M,F,240,P,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,266,120000,0,14834,143,0,D,57,0,0,0,99,57,1,0,0,2,0,N,0,149,5,N,99,Other                     ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7998,20812,720,O,26,2500.0,44.9,UnSecured,6,1,238,L,Y,0,S,M,41,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,141,120000,0,3250,0,0,D,25,0,1,5,28,18,3,1,1,1,0,N,1,33,3,N,28,Other                     ,1,760.0,LASCI,Single,1,0,0
7999,20816,837,C,60,5000.0,15.9,UnSecured,19,3,62,H,Y,1,M,M,13,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,6,215000,91000,95268,902,5,D,55,93,0,0,99,0,0,2,0,3,0,N,0,39,3,N,99,Other                     ,1,758.0,LASU,Single,1,0,0
8001,20820,874,A,60,5500.0,18.9,UnSecured,15,3,434,L,Y,0,S,M,13,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,154,120000,0,3824,0,0,D,37,0,0,0,99,0,0,0,0,1,3,N,0,39,2,N,99,Other                     ,1,758.0,LASU,Single,1,0,0
8002,20823,806,O,48,5097.0,33.4,secured  ,41,7,24,T,Y,0,M,M,2,P,F,P,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,60,120000,0,148,0,5,D,22,0,1,4,3,7,0,1,0,2,1,N,1,2,2,N,3,Gold                      ,1,517.0,,Single,1,0,0
8004,20828,531,R,36,2879.12,37.9,secured  ,37,6,36,L,Y,0,S,M,18,P,F,P,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,32,120000,0,555,0,5,D,21,0,0,0,99,0,0,6,5,1,0,N,0,6,3,N,99,Plus                      ,1,,,Single,1,0,0
8009,20841,972,X,60,5000.0,12.9,UnSecured,13,2,45,H,Y,0,M,F,143,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,203,135000,94689,97140,590,5,D,52,96,0,0,99,0,0,0,0,5,0,N,0,25,9,N,99,Joint                     ,1,716.0,LASU JOINT,JOINT,0,1,0
8010,20843,763,E,120,12000.0,13.9,secured  ,49,9,46,H,Y,0,M,F,64,P,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,250,161000,53602,59876,430,0,D,45,55,0,0,99,0,2,1,0,2,0,N,0,68,6,N,99,Joint                     ,1,716.0,LASU JOINT,JOINT,0,1,0
8011,20844,913,A,36,3000.0,11.9,secured  ,6,1,38,H,Y,2,M,F,84,G,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,240,267000,177539,180994,1044,5,D,33,179,0,0,99,90,1,1,0,5,2,N,0,35,8,N,99,Joint                     ,1,716.0,LASU JOINT,JOINT,0,1,0
8013,20853,797,D,60,2000.0,29.9,UnSecured,46,8,84,T,Y,2,M,M,36,P,F,P,4,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,216,120000,0,2027,0,5,D,34,0,0,0,99,12,0,0,0,2,6,N,0,21,2,N,99,Joint                     ,1,716.0,LASU JOINT,JOINT,0,1,0
8015,20859,851,B,60,4000.0,18.9,UnSecured,21,4,1,H,Y,0,M,M,301,S,F,P,6,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,301,180000,135000,12955,0,0,D,55,0,0,0,99,0,0,1,0,4,0,N,0,130,3,N,99,Other                     ,1,760.0,LASCI,Single,1,0,0
8016,20862,896,A,60,10000.0,8.9,UnSecured,43,7,93,H,Y,0,S,F,213,G,F,P,4,TRUE,TRUE ,TRUE ,TRUE ,TRUE ,TRUE,TRUE  ,417,105000,82672,91847,870,4,D,37,83,2,54,30,39,0,0,0,1,7,N,2,99,4,N,30,Other                     ,1,760.0,LASCI,Single,1,0,0
8017,20864,812,D,25,1500.0,31.9,UnSecured,11,2,63,L,Y,0,S,F,14,P,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,195,120000,0,14000,270,0,D,23,0,0,0,99,0,0,0,0,0,0,N,0,140,3,N,99,Other                     ,1,758.0,LASU,Single,1,0,0
8020,20870,791,D,48,2000.0,33.9,UnSecured,47,8,1,L,Y,0,S,M,89,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,211,120000,0,12692,404,0,D,28,0,0,0,99,0,0,0,0,1,7,N,0,127,8,N,99,Other                     ,1,758.0,LASU,Single,1,0,0
8022,20874,833,C,120,10000.0,15.4,secured  ,36,6,173,H,Y,0,S,M,173,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,77,133000,91225,91225,489,5,D,45,93,0,0,99,245,0,0,0,7,3,N,0,1,4,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
8023,20879,1003,X,60,10500.0,8.9,UnSecured,1,1,72,H,Y,2,M,M,48,P,F,P,6,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,204,800000,364053,372335,1709,4,D,39,366,0,0,99,0,0,0,0,6,4,N,0,83,3,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
8026,20884,833,C,60,7500.0,18.9,UnSecured,27,4,72,H,Y,2,M,F,60,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,120,220000,155867,160758,962,5,D,44,157,0,0,99,0,6,6,7,2,5,N,0,53,7,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
8027,20886,991,X,60,10000.0,8.9,UnSecured,46,8,84,H,Y,0,S,F,84,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,240,300000,21702,21329,728,5,D,45,0,0,0,99,6,0,0,0,3,5,N,0,214,9,Y,99,Joint                     ,1,716.0,LASU JOINT,JOINT,0,1,0
8028,20888,787,D,36,3000.0,27.9,UnSecured,33,5,40,T,Y,0,S,F,67,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,120,120000,0,10900,0,5,D,28,0,0,0,99,0,1,1,0,0,3,N,0,109,9,N,99,LASU                      ,1,758.0,LASU,Single,1,0,0
8029,20890,887,A,60,6500.0,21.9,UnSecured,47,8,77,T,Y,2,D,F,160,R,F,P,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,160,120000,0,6783,0,0,D,61,0,0,0,99,0,0,0,0,0,5,N,0,68,2,N,99,LIFE & CRITICAL ILLN      ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
8030,20891,890,A,48,2000.0,22.9,UnSecured,17,3,144,H,Y,2,S,F,105,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,168,140000,66965,67787,469,5,D,40,68,0,0,99,1,1,0,0,2,2,N,0,9,3,N,99,Other                     ,1,758.0,LASU,Single,1,0,0
8031,20893,922,A,60,7500.0,11.4,UnSecured,51,10,15,R,Y,0,D,F,15,P,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,364,120000,0,4624,0,0,D,50,0,0,0,99,0,0,0,0,1,0,N,0,47,1,N,99,Other                     ,1,756.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
